cards,rank,hand_class
2C 5C 6C QC AC,599,FLUSH
3C 4C 6C QC AC,600,FLUSH
2C 4C 6C QC AC,601,FLUSH
2C 3C 6C QC AC,602,FLUSH
3C 4C 5C QC AC,603,FLUSH
2C 4C 5C QC AC,604,FLUSH
2C 3C 5C QC AC,605,FLUSH
2C 3C 4C QC AC,606,FLUSH
8C 9C TC JC AC,607,FLUSH
7C 9C TC JC AC,608,FLUSH
6C 9C TC JC AC,609,FLUSH
5C 9C TC JC AC,610,FLUSH
4C 9C TC JC AC,611,FLUSH
3C 9C TC JC AC,612,FLUSH
2C 9C TC JC AC,613,FLUSH
7C 8C TC JC AC,614,FLUSH
6C 8C TC JC AC,615,FLUSH
5C 8C TC JC AC,616,FLUSH
4C 8C TC JC AC,617,FLUSH
3C 8C TC JC AC,618,FLUSH
2C 8C TC JC AC,619,FLUSH
6C 7C TC JC AC,620,FLUSH
5C 7C TC JC AC,621,FLUSH
4C 7C TC JC AC,622,FLUSH
3C 7C TC JC AC,623,FLUSH
2C 7C TC JC AC,624,FLUSH
5C 6C TC JC AC,625,FLUSH
4C 6C TC JC AC,626,FLUSH
3C 6C TC JC AC,627,FLUSH
2C 6C TC JC AC,628,FLUSH
4C 5C TC JC AC,629,FLUSH
3C 5C TC JC AC,630,FLUSH
2C 5C TC JC AC,631,FLUSH
3C 4C TC JC AC,632,FLUSH
2C 4C TC JC AC,633,FLUSH
2C 3C TC JC AC,634,FLUSH
7C 8C 9C JC AC,635,FLUSH
6C 8C 9C JC AC,636,FLUSH
5C 8C 9C JC AC,637,FLUSH
4C 8C 9C JC AC,638,FLUSH
3C 8C 9C JC AC,639,FLUSH
2C 8C 9C JC AC,640,FLUSH
6C 7C 9C JC AC,641,FLUSH
5C 7C 9C JC AC,642,FLUSH
4C 7C 9C JC AC,643,FLUSH
3C 7C 9C JC AC,644,FLUSH
2C 7C 9C JC AC,645,FLUSH
5C 6C 9C JC AC,646,FLUSH
